chap_no,inner_no,sentence_no,sentence
1,1,1,식품매장이 어디에 있나요?
1,1,2,화장실이 어디에 있죠?
1,1,3,할인행사 같은 건 없나요?
1,1,4,식품의 유통기한이 지나있어요 교환해주세요
1,1,5,이거 한번 입어봐도 될까요?
1,1,6,다른 사이즈도 볼 수 있을까요?
1,1,7,다른걸로 교환 가능한가요?
1,1,8,영수증 주세요
2,1,1,4명 자리 있나요?
2,1,2,창가 자리로 부탁해요
2,1,3,저쪽 테이블로 옮겨도 되나요?
2,1,4,여기요 주문할게요
2,1,5,메뉴판 좀 가져다주시겠어요?
2,1,6,물 좀 갖다주세요
2,1,7,주문한거 언제 나와요?
2,1,8,음식에 문제가 있는데 바꿔주시겠어요?
2,1,9,여기 계산할게요
3,1,1,도난신고를 하고 싶어요
3,1,2,제 지갑을 찾아주세요
3,1,3,기억이 나질 않아요
3,1,4,가방을 소매치기당했어요
3,1,5,혹시 제 휴대폰 보셨나요?
3,1,6,아무리 찾아도 없어요
3,1,7,이게 당신이 찾고 있던 건가요?
3,1,8,경찰서가 어디예요?
3,1,9,어디에 신고해야 하나요?
3,1,10,찾으면 저에게 연락해주세요
3,1,11,가게에 놓고 왔어요
3,1,12,꼭 찾아주세요
4,1,1,응급 전화번호는 119입니다
4,1,2,여기 다친 사람이 있어요
4,1,3,무슨일이에요?
4,1,4,구급차를 불러주세요
4,1,5,의식을 잃고 쓰러졌어요
4,1,6,피를 흘리고 있어요
4,1,7,차에 치였어요
4,1,8,숨을 안 쉬어요
4,1,9,의식이 있어요
4,1,10,여기서 가장 가까운 병원이 어디죠?
4,1,11,상비약을 팔고 있나요?
4,1,12,제 일행의 몸 상태가 안 좋아요
4,1,13,가까운 약국이 어디인가요?
4,1,14,저희를 태워주실 수 있나요?
5,1,1,집으로 가주세요
5,1,2,시청으로 가주세요
5,1,3,경찰서로 가주세요
5,1,4,가격이 너무 비싸요
5,1,5,요금이 너무 많이 나왔어요
5,1,6,거리가 짧습니다
5,1,7,거리가 멉니다
5,1,8,너 왜 이렇게 예민하게 굴어?
5,1,9,평소에 일과가 어떻게 되나요?
5,1,10,다산콜센터에 신고하겠어요
5,1,11,택시를 타려고 합니다
6,1,1,대출은 필요 없습니다
6,1,2,제 신용등급은 몇 등급이죠?
6,1,3,외국인도 할 수 있나요?
6,1,4,제 계좌번호로 입금해주세요
6,1,5,개인정보를 요구하지 마세요
6,1,6,정말인가요?
6,1,7,전화 끊겠습니다
