chap_no,inner_no,sentence_no,sentence
1,2,1,고객님 무엇을 도와드릴까요?
1,2,2,언제 구매하셨나요?
1,2,3,제품에 어떤 문제가 있으신가요?
1,2,4,네 고객님 혹시 영수증을 가지고 계십니까?
1,2,5,안녕하십니까 고객님 고객상담센터 담당 직원 김은영이라고 합니다 무엇을 도와드릴까요?
1,2,6,네 고객님 주문번호 불러주실 수 있으실까요?
1,2,7,조회되었습니다 고객님이 주문하신 제품이 가습기 맞으실까요?
1,2,8,어떤 문제가 있으신가요?
1,2,9,고객님 혹시 제품을 개봉하여 작동시키셨나요?
1,2,10,아 그럼 반품이 가능하십니다
2,2,1,어서오세요 예약하셨나요?
2,2,2,네 안쪽으로 안내해드릴게요
2,2,3,주문하시겠어요?
2,2,4,여기있습니다
2,2,5,네 주문 도와드리겠습니다 어떤걸로 드시겠어요?
2,2,6,네 주문 확인하겠습니다 삼겹살 3인분이랑 김치찌개 1개 맞으실까요
2,2,7,손님 무엇을 도와드릴까요?
2,2,8,어떤 문제가 있으십니까?
2,2,9,죄송합니다 바로 바꿔드리겠습니다
2,2,10,이것도 맛있는데 그냥 드세요
3,2,1,무슨일로 오셨나요?
3,2,2,어디서 잃어버렸어요?
3,2,3,가방에 중요한 것이 있었나요?
3,2,4,여기 사고 신고서를 작성해 주세요 곧 연락 드리겠습니다
4,2,1,119입니다. 무슨 일이신가요?
4,2,2,환자가 있는 주소를 말씀해주세요.
4,2,3,환자가 의식이 있고 숨은 쉬고 있나요?
4,2,4,어느 부위가 아픈가요?
4,2,5,환자의 나이와 평소에 지병이 있으면 말씀해주세요.
4,2,6,전화하신분 이름과 연락처를 알려주세요.
5,2,1,어디로 가시나요?
5,2,2,손님 만원 나왔습니다
5,2,3,예? 저는 평소대로 간 것뿐이에요 손님이 지나치게 예민하신건 아닌가요?
5,2,4,아 저는 평소대로 운행했습니다 저를 탓하지 마세요 다른 기사님들도 이 길로만 다닙니다
5,2,5,그렇게 불만이 많으시면, 신고해보시던가!
6,2,1,사랑하는 고객님 안녕하십니까? 서민협동조합 대리 김철수입니다 신용등급에 상관없이 소액대출이 가능한 서비스가 있어서 연락드렸습니다
6,2,2,네 물론 가능합니다 고객님 개인정보만 간단하게 말씀드리면 계좌로 바로 입금해드립니다
6,2,3,고객님의 계좌번호와 외국인등록증 사본을 제가 보내드린 문자에 있는 전화번호로 보내주시면 됩니다
6,2,4,아 고객님 저희는 보이스피싱이 아닙니다 저희는 고객님과 같이 한국에 온지 얼마 안 돼서 돈이 부족하신 분을 도와드리는 회사입니다
